,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"WAP (feat. Megan Thee Stallion)","Cardi B",92697,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
2,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,83152,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
3,"Blinding Lights","The Weeknd",68740,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
4,"Savage Love (Laxed - Siren Beat)","Jawsh 685",67126,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
5,"Go Crazy","Chris Brown",60804,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
6,"Smile (with The Weeknd)","Juice WRLD",58211,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF
7,"Roses - Imanbek Remix","SAINt JHN",57160,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
8,"Wishing Well","Juice WRLD",54912,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
9,"Breaking Me",Topic,53605,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
10,"Come & Go (with Marshmello)","Juice WRLD",52376,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
11,"Mood Swings (feat. Lil Tjay)","Pop Smoke",51461,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
12,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",50886,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
13,"Watermelon Sugar","Harry Styles",49469,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
14,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",47533,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
15,"Blueberry Faygo","Lil Mosey",46515,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
16,"POPSTAR (feat. Drake)","DJ Khaled",45990,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
17,"Toosie Slide",Drake,44957,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
18,"Someone You Loved","Lewis Capaldi",44071,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
19,"GREECE (feat. Drake)","DJ Khaled",42918,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad
20,"my future","Billie Eilish",42647,https://open.spotify.com/track/2ygvZOXrIeVL4xZmAWJT2C
21,"Dance Monkey","Tones And I",42001,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
22,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",41168,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
23,"The Box","Roddy Ricch",39422,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
24,Dior,"Pop Smoke",39192,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
25,"Party Girl",StaySolidRocky,37560,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP
26,Memories,"Maroon 5",37203,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
27,"Intentions (feat. Quavo)","Justin Bieber",35932,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
28,"Beautiful People (feat. Khalid)","Ed Sheeran",35500,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
29,Circles,"Post Malone",35235,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
30,"Be Kind (with Halsey)",Marshmello,35189,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
31,"death bed (coffee for your head)",Powfu,34787,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
32,"Life Is Good (feat. Drake)",Future,34680,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
33,"Chicago Freestyle (feat. Giveon)",Drake,34673,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
34,"Stuck with U (with Justin Bieber)","Ariana Grande",33770,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
35,cardigan,"Taylor Swift",30771,https://open.spotify.com/track/4R2kfaDFhslZEMJqAFNpdd
36,Falling,"Trevor Daniel",30450,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
37,"Before You Go","Lewis Capaldi",30434,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
38,"Don't Start Now","Dua Lipa",30078,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
39,"You're the One",Elaine,29607,https://open.spotify.com/track/4fxwbUSI6jF4XdnvCUVG97
40,"exile (feat. Bon Iver)","Taylor Swift",29537,https://open.spotify.com/track/4pvb0WLRcMtbPGmtejJJ6y
41,"Palm Trees","Nasty C",29110,https://open.spotify.com/track/3LG8owDGRfeyo6Wo49OlOY
42,"everything i wanted","Billie Eilish",28407,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
43,"THE SCOTTS","THE SCOTTS",28405,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
44,"Lose Somebody",Kygo,28273,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
45,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",27692,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
46,"Rain On Me (with Ariana Grande)","Lady Gaga",27661,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
47,"Life's A Mess (feat. Halsey)","Juice WRLD",27409,https://open.spotify.com/track/5wWAwzGp2OaaoIkwcz6wZs
48,"Lucid Dreams","Juice WRLD",27199,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
49,"ily (i love you baby) (feat. Emilee)","Surf Mesa",27014,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
50,"Something Special","Pop Smoke",26718,https://open.spotify.com/track/5kkaSMcf4BFlhRRICCKZb6
51,Righteous,"Juice WRLD",26487,https://open.spotify.com/track/5dOxHHMOFAbG3VH23t0xNm
52,"HIGHEST IN THE ROOM","Travis Scott",26373,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
53,"Adore You","Harry Styles",26259,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
54,Conversations,"Juice WRLD",26235,https://open.spotify.com/track/4K06PO78fW4mnBVenxGNob
55,"If the World Was Ending - feat. Julia Michaels","JP Saxe",26120,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
56,"Break My Heart","Dua Lipa",25683,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
57,"My Oasis (feat. Burna Boy)","Sam Smith",25514,https://open.spotify.com/track/2KoHxhRyWxJzA0VafWd5Nk
58,"Head & Heart (feat. MNEK)","Joel Corry",25473,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
59,goosebumps,"Travis Scott",25077,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
60,"you broke me first","Tate McRae",25005,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
61,"Savage Remix (feat. Beyoncé)","Megan Thee Stallion",24794,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
62,"Jerusalema (feat. Nomcebo Zikode)","Master KG",24527,https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi
63,"Only You Freestyle","Headie One",24269,https://open.spotify.com/track/4OENnoidV0h8gJV6bhrw7r
64,"lovely (with Khalid)","Billie Eilish",24188,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
65,Señorita,"Shawn Mendes",24137,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
66,"Sunday Best",Surfaces,24119,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
67,"I Don't Care (with Justin Bieber)","Ed Sheeran",24002,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
68,ROXANNE,"Arizona Zervas",23392,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
69,Robbery,"Juice WRLD",23286,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
70,Youngblood,"5 Seconds of Summer",23189,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
71,"Kings & Queens","Ava Max",23037,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
72,"SICKO MODE","Travis Scott",22755,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
73,Sponono,"Kabza De Small",22711,https://open.spotify.com/track/4SbOJrfNvUuHGGmJ8BeLHU
74,"Hate The Other Side (with Marshmello & The Kid Laroi)","Juice WRLD",22448,https://open.spotify.com/track/0ada5XsQGLPUVbmTCkAP49
75,"Nobody's Love","Maroon 5",22390,https://open.spotify.com/track/3kwgqoBqTwoAH4nT29TYrq
76,Masupa,"Kabza De Small",22277,https://open.spotify.com/track/5Id1TX4vQxyUc6dapFxMnM
77,"BELIEVE IT",PARTYNEXTDOOR,21879,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
78,"After Party","Don Toliver",21857,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
79,Shallow,"Lady Gaga",21571,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
80,"Ballin' (with Roddy Ricch)",Mustard,21515,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
81,"bad guy","Billie Eilish",21368,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
82,"Higher Love",Kygo,21332,https://open.spotify.com/track/1kKYjjfNYxE0YYgLa7vgVY
83,"Rags2Riches (feat. ATR Son Son)","Rod Wave",21261,https://open.spotify.com/track/1ENdcyhqdylaLsPVgB83qq
84,Eazy,"Nasty C",21135,https://open.spotify.com/track/2WxL4qrdtQFs7RJ9hEbyW1
85,"Ride It",Regard,20970,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
86,"Post Malone (feat. RANI)","Sam Feldt",20632,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL
87,"Ke Star",Focalistic,20338,https://open.spotify.com/track/5I4C1yjAWDREGD5JLzqux1
88,"Tender Love (feat. DJ Maphorisa & Kabza De Small)","Sha Sha",20321,https://open.spotify.com/track/7ckWQdFniRR7CNsIA1VIML
89,"my ex's best friend (with blackbear)","Machine Gun Kelly",20282,https://open.spotify.com/track/70rFIfYN7lU6iTgUIVP42w
90,"Got It On Me","Pop Smoke",20221,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1
91,"Ubomi Abumanga","Sun-El Musician",20075,https://open.spotify.com/track/1Eum24tziiY0sRBRx7hWBb
92,"WHATS POPPIN","Jack Harlow",20003,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
93,"No Guidance (feat. Drake)","Chris Brown",19818,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
94,"Price to Pay","Miss Pru DJ",19746,https://open.spotify.com/track/5aDAwf4fABN9oZ52PDbX2o
95,"The Climb Back","J. Cole",19574,https://open.spotify.com/track/0FlfN5cbUUpIHCRH8X1M44
96,Happier,Marshmello,19564,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
97,"GO (feat. Juice WRLD)","The Kid LAROI",19562,https://open.spotify.com/track/2rPHUAeUPbNgTmK18FPTiZ
98,GOOBA,6ix9ine,19133,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
99,"Without Me",Halsey,19119,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
100,eMcimbini,"Kabza De Small",19076,https://open.spotify.com/track/6HtHuxqzGApzZdJZG1vteB
101,"Godzilla (feat. Juice WRLD)",Eminem,19073,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
102,"Jocelyn Flores",XXXTENTACION,18948,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
103,"Move Ya Hips (feat. Nicki Minaj & MadeinTYO)","A$AP Ferg",18866,https://open.spotify.com/track/5esKpsrB3TbGHwFaAjIGMx
104,"DOLLAZ ON MY HEAD (feat. Young Thug)",Gunna,18852,https://open.spotify.com/track/3nS9a01VvXHQriLqJYwRqG
